word,meaning
misconception,"a view that is incorrect; misunderstanding"
misconstrued,"interpreted a person's words wrongly"
miscreant,"a person who behaves badly or in a way that breaks the law"
misdemeanor,"a minor wrongdoing"
misgiving,"a feeling of doubt or apprehension"
misguided,"having or showing faulty judgement"
mishap,"an unlucky accident; piece of bad luck"
misleading,"giving the wrong idea or impression"
misnomer,"a wrong or inaccurate name or designation"
misperception,"a false or inaccurate interpretation"
misrepresent,"to give a false account of something"
mistrust,"lack of trust; suspicion"
mitigate,"to make something bad less severe, serious, or painful"
moan,"a long, low sound made by a person expressing suffering"
mob,"a large crowd of people, often disorderly"
mock,"to tease or laugh at in a scornful manner"
moderation,"the avoidance of extremes; being reasonable"
modernize,"to adapt something to modern needs or habits"
modest,"unassuming in the estimation of one's abilities"
modify,"to make partial or minor changes to something"
moisture,"water or other liquid diffused in a small quantity"
momentous,"of great importance or significance; historic"
momentum,"the quantity of motion of a moving body"
monastery,"a building occupied by monks; a religious house"
monetary,"relating to money or currency"
moniker,"a name or nickname"
monitor,"to observe and check the progress or quality of something over time"
monolithic,"formed of a single large block; massive unit"
monologue,"a long speech by one actor in a play"
monopoly,"exclusive possession or control of trade"
monotony,"lack of variety and interest; tedious routine"
moody,"given to unpredictable changes of mood; emotional"
morale,"confidence and discipline of a person or group"
moribund,"at the point of death; about to end"
mortal,"subject to death; causing death"
mortify,"to cause someone to feel very ashamed"
motivate,"to provide someone with a motive for doing something"
mourn,"to feel or show deep sorrow for someone who has died"
multifaceted,"having many different aspects or sides"
multiplier,"a quantity by which a given number is to be multiplied"
multitude,"a large number of people or things"
mundane,"lacking interest or excitement; dull"
municipality,"a town or city that has local government"
mural,"a large painting done directly on a wall"
murky,"dark and gloomy; cloudy; vague"
muse,"to think about something for a time; an inspiration"
mutation,"the action or process of changing in form or nature; genetic change"
mute,"refraining from speech; silent"
mutual,"experienced or done by each of two or more parties"
myriad,"a countless or extremely great number"
mystifying,"utterly bewildering or perplexing; hard to explain"
nascent,"just coming into existence and showing potential"
nationality,"the status of belonging to a particular nation"
nature,"fundamental character; physical world"
nebulous,"in the form of a cloud or haze; hazy"
necessitous,"lacking the necessities of life; needy"
neglect,"to fail to care for properly; disregard"
negligible,"so small or unimportant as to be not worth considering"
nettle,"a plant with stinging hairs; to irritate someone"
neurotic,"suffering from or relating to neurosis; not calm"
neutral,"not supporting either side; open-minded"
nibble,"to take small bites out of"
nimble,"quick and light in movement or action"
nimbly,"in a quick and light movement or manner"
nocturnal,"done or active at night; of animals"
noisome,"having an extremely offensive smell; unpleasant"
nomadic,"living the life of a nomad; wandering"
nominal,"existing in name only; not real or actual"
nondescript,"lacking distinctive or interesting features"
nonentity,"a person or thing with no special qualities"
nostalgic,"feeling or characterized by nostalgia for the past"
notable,"worthy of attention or notice; remarkable"
notate,"to write something in notation, especially music"
notation,"a system of graphic symbols for a specialized use"
notch,"an indentation on an edge; a point or degree"
notion,"a conception of or belief about something; an understanding"
notorious,"famous or well known for some bad quality"
notwithstandin,"in spite of; despite"
novel,"new or unusual in an interesting way"
novelty,"the quality of being new, original, or unusual"
noxious,"harmful, poisonous, or very unpleasant"
nuance,"a subtle difference in or shade of meaning"
nuanced,"characterized by subtle shades of meaning or expression"
nugget,"a small lump of a valuable metal or mineral; a valuable idea"
nuisance,"a person or thing causing inconvenience"
nullify,"to make legally null and void; to invalidate"
numerical,"relating to or expressed as a number"
nurse,"to care for the sick; to nurture or encourage"
nurture,"to care for and encourage the development of"
nutritive,"relating to nutrition; healthy"
obedient,"complying with orders or requests; submissive"
object,"a material thing; a goal or purpose"
objection,"an expression or feeling of disapproval or opposition"
oblique,"slanting; indirect; neither parallel nor perpendicular"
obliterate,"to destroy utterly; to wipe out"
oblivion,"the state of being unaware or destroyed"
oblivious,"not aware of or concerned about what is happening"
obsequious,"obedient or attentive to an excessive degree"
observant,"quick to notice things; sharp-eyed"
observe,"to notice or perceive something; to remark or comment"
obsession,"the state of being obsessed with something"
obsolete,"no longer produced or used; out of date"
obstacle,"a thing that blocks one's way or prevents progress"
obstruct,"to block an opening, path, or road"
obtrusive,"noticeable or prominent in an unwelcome or intrusive way"
obviate,"to remove a need or difficulty; to prevent"
obvious,"easily perceived or understood; clear"
occasion,"a particular time or instance of an event"
occupant,"a person who resides or is present in a place"
oddity,"a strange or peculiar person, thing, or trait"
odor,"a distinctive smell, especially unpleasant"
off-putting,"unpleasant in a way that discourages behavior"
offhand,"without previous thought or consideration; coolly nonchalant"
offset,"to counterbalanced by an equal force"
omen,"an event regarded as a portent of good or evil"
ominous,"giving the impression that something bad will happen"
omnipotent,"having unlimited power; able to do anything"
omnipresence,"the state of being widespread; everywhere"
omniscient,"knowing everything; all-knowing"
omnivorous,"feeding on food of both plant and animal origin"
one-upmanship,"the skill of getting an advantage over others"
onset,"the beginning of something unpleasant"
opaque,"not able to be seen through; not transparent; not clear"
open,"allowing access, passage, or a view"
opinionated,"conceitedly assertive in one's opinions"
opponent,"someone who competes against or fights another"
opportune,"done or occurring at a favorable or useful time"
oppress,"to keep in subservience or hardship; to abuse"
oppressive,"inflicting hardship and constraint; cruel"
optimal,"best or most favorable; optimum"
optimistic,"hopeful and confident about the future"
optimum,"most conducive to a favorable outcome; best"
optic,"relating to the eye or vision"
opulence,"great wealth or luxuriousness; rich"
oral,"by word of mouth; spoken rather than written"
orbit,"the curved path of a celestial object around a star"
orchestral,"relating to or composed for an orchestra"
ordeal,"a painful or horrific experience; a tough test"
ordinary,"with no special or distinctive features; normal"
originate,"to have a specified beginning; to start"
ornate,"made in an intricate shape; decorated with patterns"
oscillate,"to move or swing back and forth at a regular speed"
ostensible,"stated or appearing to be true, but not necessarily so"
ostentatious,"characterized by vulgar or pretentious display"
ostracism,"exclusion from a society or group"
ought,"used to indicate duty or correctness"
oust,"to drive out or expel someone from a position"
out,"away from a particular place; not suitable"
out-of-the-way,"remote from busy areas; unusual; secluded"
outcast,"a person who has been rejected by society"
outdated,"no longer used or fashionable; old-fashioned"
outlandish,"looking or sounding bizarre or unfamiliar"
outlaw,"a person who has broken the law; to ban something"
outnumber,"to be more numerous than someone or something"
outperform,"to perform better than another person or group"
outrage,"an extreme strong reaction of anger; an act"
outright,"altogether; completely; open"
outspoken,"frank in stating one's opinions; honest"
outstrip,"to move faster than and overtake; to surpass"
overdrive,"a state of great or excessive activity"
overdue,"not having arrived by the expected time"
overlook,"to fail to notice something; to have a view from above"
overpower,"to defeat or overcome with superior strength"
overreact,"to respond more emotionally or forcibly than is justified"
overwhelm,"to bury or drown beneath a huge mass"
overwhelming,"very great in amount; very strong"
overwrought,"a state of nervous excitement or anxiety; upset"
pace,"the speed at which someone or something moves"
pacify,"to quell the anger, agitation, or excitement of"
pale,"having little color in the face; to lose significance"
pall,"to become less interesting; a cloth over a coffin"
palliate,"to make a disease less painful without curing it"
palpable,"so intense as to seem tangible; obvious"
paltry,"of an amount small or meager; petty"
pamper,"to indulge with every attention and comfort"
panacea,"a solution or remedy for all difficulties"
pandemonium,"wild and noisy disorder or confusion; chaos"
panorama,"an unbroken view of a whole region"
parable,"a simple story used to illustrate a moral lesson"
paradigm,"a typical example or pattern of something; model"
paradoxical,"seemingly absurd or self-contradictory"
paragon,"a person or thing viewed as a model of excellence"
parallel,"side by side and having the same distance between"
paralyze,"to cause a person to lose the ability to move"
paramount,"more important than anything else; supreme"
parasite,"an organism that lives on or in a host"
parity,"the state or condition of being equal"
parochial,"having a limited or narrow outlook or scope"
parody,"an imitation of the style of a particular writer"
parry,"to ward off a weapon or attack with a counter"
partial,"existing only in part; incomplete; biased"
particular,"used to single out an individual member; fastidious"
pastoral,"related to the countryside; grazing of sheep"
patchy,"not of the same quality throughout; inconsistent"
paternal,"of or appropriate to a father; paternal side"
pathogen,"a bacterium, virus, or other microorganism that can cause disease"
pathological,"relating to physical or mental disease; compulsive"
pathetic,"arousing pity through vulnerability or sadness"
patriarch,"the male head of a family or group"
patriotism,"devotion to and vigorous support for one's country"
pattern,"a repeated decorative design; a model"
paucity,"the presence of something only in small quantities"
peak,"the pointed top of a mountain; maximum"
peculiar,"strange or odd; unusual; exclusive"
pedagogy,"the method and practice of teaching"
peerless,"unequaled; unrivaled"
penchant,"a strong or habitual liking for something"
peninsula,"a piece of land almost surrounded by water"
pension,"a regular payment made during retirement"
pensive,"engaged in involving deep or serious thought"
penury,"extreme poverty; destitution; oppressive lack"
perceive,"to become aware or conscious of something"
perceptive,"having or showing sensitive insight; observant"
percolate,"to filter gradually through a porous surface"
peremptory,"insisting on immediate attention or obedience"
perforate,"to pierce and make a hole or holes in something"
perfunctory,"carried out with a minimum of effort"
peripheral,"relating to or situated on the edge or periphery of something"
perish,"to suffer death in a violent way; to rot"
permanence,"the state of lasting or remaining unchanged"
permeate,"to spread throughout something; to pervade"
permissive,"allowing or characterized by great freedom"
pernicious,"having a harmful effect in a subtle way; deadly"
perpendicular,"at an angle of 90 degrees to a line"
perpetuate,"to make something undesirable continue indefinitely"
perplexed,"completely baffled; very puzzled"
perquisite,"a thing regarded as a special right or privilege"
persist,"to continue firmly or obstinately in an opinion or course of action"
personage,"a person of high or elevated status"
personality,"the combination of characteristics that form an individual"
persuade,"to cause someone to do something through reasoning"
pertain,"to be connected with; to be appropriate"
pertinent,"relevant or applicable to a particular situation"
perturb,"to make someone anxious or unsettled"
pervasive,"spreading widely throughout an area; permeating"
perverse,"desire to behave in an unreasonable way"
pessimistic,"tending to see the worst aspect of things"
petty,"of little importance; trivial; small-minded"
phase,"a distinct period or stage in a process"
phenomenon,"a fact or situation that is observed to exist"
philanthropist,"a person who seeks to promote welfare; donor"
phobia,"an extreme or irrational fear of something"
physical,"relating to the body as opposed to the mind"
picturesque,"visually attractive, especially in a quaint way"
pigment,"the natural coloring matter of animal or plant tissue"
pilgrimage,"a journey to a place associated with someone or something respected"
pinnacle,"the most successful point; the culmination"
pinpoint,"to find or identify with great accuracy or precision"
pique,"a feeling of irritation or resentment"
pittance,"a very small amount of money paid as a wage"
pitiable,"deserving or arousing pity; miserable"
pitfall,"a hidden or unsuspected danger or difficulty"
pivotal,"of crucial importance; central"
place,"a particular portion of space; a position"
placement,"the action of putting someone in a place"
placid,"not easily upset or excited; peaceful"
plaintiff,"a person who brings a case against another in court"
plaint,"an accusation or charge; a lamentation"
plan,"a detailed proposal for doing or achieving something"
plastic,"easily shaped or molded; synthetic material"
platitude,"a remark that has been used too often to be interesting"
plausible,"of an argument seeming reasonable or probable"
play,"activity engaged in for enjoyment and recreation"
pleading,"making an emotional appeal; wanting much"
pleased,"feeling or showing pleasure and satisfaction"
pleasure,"a feeling of happy satisfaction and enjoyment"
plethora,"a large or excessive amount of something"
pliable,"easily bent; flexible"
pliant,"easily bent; flexible; easily influenced"
plight,"a dangerous or difficult situation; predicament"
pluck,"to take hold of and remove; courage"
plummet,"to fall or drop straight down at high speed"
plunge,"to jump or dive quickly; to fall suddenly"
poignant,"evoking a keen sense of sadness; touching"
polarized,"divided into two sharply contrasting groups or sets"
polemic,"a strong verbal or written attack on someone"
polite,"having or showing behavior that is respectful"
pompous,"irritatingly grand or self-important"
ponder,"to think about something carefully; to consider"
pool,"a shared supply of resources or money"
popular,"liked or enjoyed by many people; general"
popularize,"to cause something to become generally liked"
populous,"having a large population; crowded"
porous,"having minute spaces through which liquid or air may pass"
portal,"a doorway or entrance to a building; a gateway"
portion,"a part of a whole; a share of something"
portrayal,"a depiction or representation of someone"
pose,"to present a problem; a position for a photo"
posit,"to put forward as a basis for argument; to assume"
possessive,"demanding someone's total attention"
postpone,"to cause something to take place later"
postulate,"to assume the existence of something as a basis"
potency,"the power or influence that somebody or something has"
potential,"having the capacity to become something in the future"
practical,"concerned with the actual doing rather than theory"
practitioner,"a person actively engaged in an art or profession"
pragmatic,"dealing with things in a practical and sensible way"
praise,"express warm approval or admiration of"
preceding,"coming before something in time or order"
preceptor,"a teacher or instructor"
precipitate,"to cause something bad to happen suddenly"
precocious,"developing certain abilities earlier than usual"
preclude,"to prevent from happening; to make impossible"
precursor,"a person or thing that comes before another"
predecessor,"a person who held a job or office before the current holder"
predicament,"a difficult, unpleasant, or embarrassing situation"
predominant,"present as the strongest or main element"
preface,"an introduction to a book; forward"
preliminary,"preceding or done in preparation for something"
prelude,"an action or event serving as an introduction"
premeditated,"of a crime or bad action planned beforehand"
premonition,"a strong feeling that something is about to happen"
preoccupied,"thinking and/or worrying about something so that you do not notice other things"
prerogative,"a right or privilege exclusive to a class"
prescribe,"to advise and authorize the use of a medicine; to state as a rule"
prescient,"having knowledge of events before they take place"
preservative,"a substance used to prevent food from decaying"
pressing,"requiring immediate attention; urgent"
prestige,"widespread respect and admiration"
prestigious,"inspiring respect and admiration; having high status"
presume,"to suppose that something is the case on probability"
presumptuous,"failing to observe the limits of what is appropriate"
pretext,"a reason given for doing something that is not the real one"
prevail,"to prove more powerful than opposing forces"
prevailing,"existing or most common at a particular time or in a particular place"
prevalent,"widespread in a particular area or at a particular time"
prewar,"occurring or existing before a war"
primate,"a mammal of an order that includes monkeys and humans"
prime,"of first importance; main; in its best stage"
primitive,"relating to the character of an early stage"
primly,"in a prim or demure way; formally"
primordial,"existing from the beginning of time; primitive"
principal,"first in order of importance; the head of a school"
principle,"a fundamental truth or proposition"
prioritize,"to designate or treat something as being most important"
prism,"a solid geometric figure whose ends are similar and parallel"
pristine,"in its original condition; unspoiled"
privation,"a state where essential things are lacking"
privilege,"a special right or advantage available to a group"
prize,"something extremely important or valuable; reward"
procrastinate,"to delay or postpone action; to put off"
prodigious,"remarkably or impressively great in extent"
prodigy,"a person with exceptional qualities or abilities"
produce,"to make or manufacture from components"
profess,"to claim that one has a quality; to confess"
proficiency,"a high degree of skill; expertise"
profound,"showing great knowledge or insight; very great"
profusion,"an abundance or large quantity of something"
progeny,"a descendant or the offspring of a person"
progressive,"happening gradually; using modern methods"
prohibit,"to formally forbid something by law"
prohibition,"the action of forbidding something by law"
prohibitive,"price so high as to prevent purchase"
projected,"estimated or forecast on the basis of current trends"
proliferate,"to increase rapidly in numbers; to multiply"
prolong,"to extend the duration of; to make longer"
prominence,"the state of being important or well-known"
promising,"showing signs of future success; hopeful"
promote,"to support or encourage the cause of"
promotion,"advancement; active encouragement for a cause"
prompt,"to cause or bring about an action; done without delay"
promulgate,"to promote or make widely known an idea"
propagate,"to breed specimens; to spread an idea widely"
propaganda,"information used to promote a political cause"
propensity,"an inclination or natural tendency to behave"
proper,"truly what something is said or regarded to be"
property,"a thing or things belonging to someone; buildings"
propitious,"giving or indicating a good chance of success"
proponent,"a person who advocates a theory, proposal, or project"
proportional,"corresponding in size to something else"
propriety,"state of conforming to accepted standards of behavior"
propulsion,"the action of driving or pushing forward"
prospect,"the possibility or likelihood of a future event"
prospector,"a person who searches an area for gold, minerals, or oil"
prosperity,"the state of being successful or flourishing"
prosperous,"successful in material terms; flourishing"
prosthetic,"relating to an artificial body part; fake part"
protagonist,"the leading character in a drama, film, or book"
protectionist,"shielding domestic industries by taxing imports"
protracted,"lasting for a long time or longer than expected"
proud,"feeling deep pleasure or satisfaction"
provocative,"causing annoyance, anger, or strong reaction"
provoke,"to stimulate or give rise to a reaction, typically a strong one"
provisional,"arranged for the present; to be changed later"
provision,"the action of providing something; supplies"
provincial,"lacking sophistication; of a province"
proximity,"nearness in space, time, or relationship"
proxy,"the authority to represent someone else; a substitute"
prudent,"acting with care and thought for the future"
prudish,"tending to be easily shocked by sex or nudity"
publicity,"notice or attention given to someone by the media"
pump,"to move liquid by suction; to produce in amount"
punctuate,"to insert marks; to emphasize at intervals"
pungent,"having a sharply strong taste or smell"
puny,"small and weak; not impressive"
purist,"a person who insists on absolute adherence to rules"
quaint,"attractively unusual or old-fashioned"
qualify,"to be entitled to a benefit by fulfilling a condition or having an ability"
quality,"the standard of something; an attribute"
quarry,"a place from which stone is extracted; an animal being hunted"
quarterly,"occurring once every three months"
quell,"to put an end to disorder, usually by force"
quip,"a witty remark or a quick speech"
quirk,"a peculiar behavioral habit; idiosyncrasy"
quota,"a fixed share of something that a person is entitled to receive"
rabid,"having extreme or fanatical support for a belief"
radical,"affecting the fundamental nature; far-reaching"
rail,"to scold in harsh or abusive language"
rally,"to come together or support a cause; a meeting"
ramble,"a long confused speech; to walk for pleasure"
ramification,"a consequence of an action or event"
rambunctious,"full of energy in a cheerful or unruly way"
rampant,"flourishing or spreading unchecked; menacing"
ranger,"a person who takes care of a park or forest"
rapacious,"aggressively greedy or grasping"
rash,"lack of careful consideration; imprudent"
ratify,"to sign or give formal consent to a treaty or agreement"
rationale,"a set of reasons or a logical basis for an action"
raucous,"making a disturbingly harsh and loud noise"
raze,"to completely destroy a building or town"
read,"to comprehend written matter; to interpret"
readily,"without hesitation; easily; willingly"
realm,"a kingdom; an area of activity"
rear,"the back part of something; to raise"
rebut,"to prove that a statement or criticism is false"
rebuke,"to express sharp disapproval or criticism of someone"
recant,"to say that one no longer holds an opinion or belief"
recession,"a period of temporary economic decline"
receptive,"willing to consider new suggestions"
reciprocate,"to respond to a gesture or action by making a corresponding one"
reclaim,"to retrieve or recover something previously lost"
recognize,"to identify someone; to acknowledge"
recoil,"to spring back in fear, horror, or disgust"
recollection,"the action or faculty of remembering"
reconcile,"to restore friendly relations; to harmonize"
recount,"to tell someone about something; give an account of an event"
recruit,"to enlist someone in an organization"
redemption,"the action of saving from sin or error"
redolent,"strongly reminiscent or suggestive of something"
redress,"to remedy or set right an unfair situation"
reductive,"presenting a subject in a simplified form"
redundant,"not or no longer needed or useful"
referendum,"a general vote by people on a single question"
refine,"to remove impurities or unwanted elements"
refrain,"to stop oneself from doing something"
refreshing,"serving to reinvigorate someone; novel"
refugee,"a person forced to leave their country"
refute,"to prove a statement or theory to be wrong"
regenerate,"to grow new tissue; to develop or improve an institution"
regime,"a government, especially an authoritarian one"
regrettable,"unwelcome and deserving of condemnation"
regularity,"the state or quality of being constant and frequent"
regulate,"to control the rate or speed of something"
reign,"the period during which a sovereign rules"
reiterate,"to say something again for emphasis"
rejuvenating,"making someone or something look or feel younger or fresher"
relate,"to tell or narrate; to show a connection"
relevant,"closely connected or appropriate to the matter"
relentless,"oppressively constant; incessant; not getting less strong"
relieve,"to cause pain or distress to become less severe"
relish,"great enjoyment; to like something"
relinquish,"to voluntarily cease to keep or claim; to give up"
reluctant,"unwilling and hesitant; disinclined"
remand,"to place a defendant on bail or in custody"
remarkable,"worthy of attention; striking"
remembrance,"the action of remembering an event or person"
reminisce,"to indulge in enjoyable recollection of events"
remiss,"lacking care or attention to duty; negligent"
remnant,"a small remaining quantity of something"
remote,"situated far from centers of population; slight"
remuneration,"money paid for work or a service"
render,"to provide or give a service; to cause to be or become"
renounce,"formally declare one's abandonment of a claim, right, or possession"
renovation,"the action of repairing or improving a building"
renowned,"known or talked about by many people; famous; celebrated"
repeal,"the action of revoking a law; to annul"
repel,"to drive or force back; to disgust"
repellent,"able to repel a particular thing; causing disgust"
repent,"to feel or express sincere regret for wrongdoing"
repertoire,"a stock of pieces that a performer knows"
replenish,"to fill something up again; to restore"
replete,"filled or well-supplied with something"
replicable,"able to be copied or reproduced exactly"
repose,"a state of rest, sleep, or tranquility; feeling calm"
reprehensible,"deserving censure or criticism"
represent,"to stand for or symbolize something"
reprimand,"a formal expression of disapproval; reproach"
reprise,"a repetition of a performance or a repeated passage in music"
reproach,"to express disapproval or disappointment"
reproduce,"to produce a copy of something"
reproducible,"able to be reproduced or copied exactly"
repression,"subduing someone by force; limiting freedom"
repudiate,"to refuse to accept or be associated with; to reject"
repulse,"to drive back an attack by force; to reject"
reputed,"according to general belief but not necessarily true"
requisite,"made necessary by particular circumstances"
resentment,"bitter indignation at having been treated unfairly"
reservation,"a doubt or prearrangement; the action of reserving"
reserve,"refrain from using; lack of openness in manner"
resemble,"to look like or be similar to another person"
resignation,"act of giving up a position; accepting unpleasantness"
resilient,"able to recover quickly; adaptable"
resistant,"offering resistance to something; unaffected"
resolve,"to find a solution to a problem or settle a dispute"
resort,"to turn to for help; a vacation destination"
respite,"a short period of rest from something difficult"
respectively,"separately or individually and in the order mentioned"
restless,"unable to rest or relax as a result of anxiety"
restorative,"having the ability to restore health"
restrain,"to prevent from doing something; to keep under control"
restrictive,"imposing restrictions on someone's activities"
resurrection,"restoration or revival of something; coming back"
retaliate,"to make an attack or assault in return for a similar attack"
retention,"the continued possession or control of something"
reticent,"not revealing one's thoughts readily; unwilling to talk"
retort,"to say something in answer in a sharp manner"
retract,"to draw back in; to disavow or withdraw"
retrace,"to go back over the same route that one has just taken"
retreat,"to withdraw from a position; a secluded place"
retribution,"punishment inflicted as vengeance"
retrieve,"to get or bring something back; to regain possession of"
retrospect,"a survey or review of a past course of events"
retrospective,"looking back on or dealing with past events"
revamp,"to give new and improved form; to renovate"
reverberate,"to be repeated as an echo; to have long effect"
reverence,"deep respect for someone or something"
reverie,"a state of being pleasantly lost in one's thoughts"
reverse,"to move backward; the opposite of something"
revert,"to return to a previous state or condition"
revitalization,"the process of making something active or healthy again"
revocation,"the official cancellation of a decree or promise"
revoke,"to put an end to the validity of a decree"
revolt,"to rise in rebellion; to refuse allegiance"
revolve,"to move in a circle on a central point or axis"
rhetoric,"the art of effective or persuasive speaking"
ricochet,"to rebound one or more times off a surface"
rife,"of common occurrence; widespread and bad"
rift,"a crack or break; a serious disagreement"
rigidity,"the inability to be bent; inflexibility"
rigorous,"extremely thorough and careful; strict"
ripple,"a small wave on the surface of water"
roam,"to move about aimlessly; to wander"
robust,"strong and healthy; vigorous; strong"
rotunda,"a round building or room, especially one with a dome"
rotate,"to move in a circle around an axis"
rounding,"making a number less exact but more convenient to use"
rowdy,"noisy and likely to cause trouble; disorderly"
rudimentary,"involving or limited to basic principles; not fully developed"
rue,"to bitterly regret something one has done"
rugged,"having a broken, rocky surface; tough"
rumble,"to make a continuous deep, resonant sound"
rummage,"to search unsystematically through a mass"
runoff,"the draining away of water from the surface of an area of land"
rustic,"relating to the countryside; simple"
sacred,"connected with God; deserving veneration"
saga,"a long story of heroic achievement or adventures"
sage,"a wise person; an aromatic plant"
salient,"most noticeable or important; prominent"
saliva,"watery liquid produced in the mouth"
salvation,"deliverance from sin and its consequences"
sanction,"official permission or approval; a penalty"
sanctuary,"a place of refuge or safety; protection"
sanity,"the state of being sane; soundness of mind"
sap,"to gradually weaken or destroy someone's strength"
sarcastic,"using irony to mock or convey contempt"
satiety,"the feeling or state of being completely full"
satirical,"containing or using satire to criticize or mock"
saturated,"holding as much of a substance as can be absorbed; soaked"
savage,"fierce, violent, and uncontrolled; cruel"
savant,"a learned person, especially a distinguished scientist"
savvy,"perceptive and shrewd; practical knowledge"
saw,"a hand tool with sharp points for cutting"
scandalous,"causing public outrage by perceived offense"
scarce,"insufficient for the demand; rare"
scavenge,"to search for and collect usable waste"
scenario,"a written outline of a movie or novel; situation"
scoff,"to speak to someone in a scornfully derisive way"
scion,"a descendant of a wealthy or famous family"
scornful,"feeling or expressing contempt; mocking"
scour,"to clean hard by rubbing; to search thoroughly"
scout,"a person sent to gather information; youth"
scowling,"frowning in an angry or bad-tempered way"
scribble,"to write or draw something untidily or carelessly"
scruffy,"shabby and untidy or dirty"
scurry,"to move hurriedly with short quick steps"
seal,"an official mark; to join things together"
seamless,"smooth and continuous, with no apparent gaps"
seclude,"to keep someone away from other people"
seclusion,"the state of being private; a retreat"
secrete,"to produce and discharge a substance from a cell or gland"
sedating,"calming or tranquilizing; making sleepy"
sedentary,"staying and sitting down; somewhat inactive"
sediment,"matter that settles to the bottom of liquid"
self-conscious,"feeling undue awareness of oneself; embarrassed"
self-defeating,"preventing the intended result from happening"
self-effacing,"not claiming attention for oneself; modest"
self-evident,"not needing to be demonstrated; obvious"
self-serving,"having concern for one's own interests first"
senile,"showing the weaknesses of old age"
sentiment,"a view of or attitude toward a situation; opinion"
serenity,"the quality of being calm and peaceful"
servile,"having an excessive willingness to please others"
set,"to put or stand something; to begin a job"
setback,"a reversal or check in progress; problem"
sewer,"an underground conduit for carrying off drainage water"
shabby,"in poor condition through long use; untidy"
shadow,"a dark area produced by light being blocked"
shaggy,"having long, thick, and unkempt hair or fur"
sham,"a thing that is not what it claims to be"
shed,"to discard; to cast off; to provide info"
sheer,"nothing but; absolute; very steep"
shield,"a broad piece of metal for protection"
shore,"the land along the edge of a sea; to support something weak"
showy,"having a grand or impressive appearance"
shroud,"a length of cloth in which a dead person is wrapped for burial; to hide"
shun,"to persistently avoid or ignore someone"
shuffle,"to walk by dragging one's feet along the ground"
significant,"sufficiently great or important to be worthy"
signify,"to be a sign of; to mean or indicate"
simultaneous,"occurring, operating, or done at the same time"
simulation,"imitation of a situation or process"
simulate,"to imitate the character of something"
sin,"an immoral act considered a transgression against law"
sincerity,"the quality of being honest and free from deceit"
single,"only one; to choose something from a group"
singular,"extraordinary; exceptional; referring to just one"
sinister,"giving an impression of being harmful or evil"
skeptical,"not easily convinced; having doubts"
sketchy,"not thorough or detailed; hasty"
skirmish,"an episode of irregular fighting; argument"
skirt,"a garment; to go around the edge of something"
skyrocket,"to rise abruptly and very rapidly"
slant,"slope or lean; a particular point of view"
slovenly,"untidy and dirty; disorganized"
slow,"moving or operating at a low speed"
sluggish,"slow-moving or inactive; lacking energy"
slumber,"to sleep; a state of dormancy"
smash,"to violently break something into pieces; a great success"
smirk,"a self-satisfied or silly smile"
smother,"to kill by covering the nose; to stifle or suppress"
sneer,"a contemptuous or mocking smile or remark"
snobbish,"characteristic of a snob; haughty"
sober,"not affected by alcohol; sensible; calm; serious"
solace,"comfort in a time of distress or sadness"
solemn,"very serious and sincere; formal and dignified"
solicit,"to ask for or try to obtain something from someone"
solidarity,"unity or agreement of feeling or action in a group"
