word,meaning,sentence
substantially,to a great or significant extent; in most details
supernova,a star that explodes and becomes much brighter for a short time
susceptible,"likely or liable to be influenced, harmed, or affected by a particular thing"
telegenic,having an appearance or manner that is appealing on television
toil,work extremely hard or incessantly for a long time
torpor,a state of physical or mental inactivity; being active and having no energy
turbulent,"characterized by conflict, disorder, or confusion; changing direction"
umpire,an official who watches a game to enforce the rules and settle disputes
zealous,having or showing great energy or enthusiasm for a cause or objective
benevolent,well-meaning and kindly; (of people in authority) helpful
bipedalism,the condition of using only two legs for walking
circumvent,to find a way around an obstacle or difficulty
compound,to make something bad become even worse
conjecture,an opinion or conclusion formed on the basis of incomplete information
contract,to make or become smaller or less in size
credence,belief in or acceptance of something as true; reliability
delectable,extremely pleasant to the taste; delicious
delegate,to entrust a task or responsibility to another person
dexterity,"skill in performing tasks, especially with the hands or mind"
disconcerting,"causing one to feel unsettled, confused, or embarrassed"
dreary,"dull, bleak, and lifeless; causing sadness"
eclipse,to obscure the light from a celestial body; to surpass in importance
establish,to set up on a firm or permanent basis; to prove facts
evident,plain or obvious; clearly seen or understood
excavation,the action of digging in the ground to look for old objects
fabricate,"to invent or concoct something, typically with deceitful intent"
hibernation,the state of inactivity in which some animals spend the winter
hiccup,a repeated sound made in the throat; a minor setback
imperceptible,"so slight, gradual, or subtle as not to be perceived; very small"
inadvertent,not resulting from or achieved through deliberate planning; unintentional
indecipherable,"impossible to read or understand"""
indigenous,originating or occurring naturally in a particular place; native
inform,to give someone facts or tell them about something
insoluble,impossible to solve; (of a substance) unable to be dissolved
integration,the process of combining two or more things to make a whole
involuntarily,done without will or conscious control; without intending it
latch,a small metal bar used to fasten a door or a gate
legion,a vast number of people or things; a unit of soldiers
listless,lacking energy or enthusiasm; having no interest
moderation,the avoidance of extremes; being reasonable
obscure,not discovered or known about; hard to understand
opaque,not able to be seen through; not transparent; not clear
pinpoint,to find or identify with great accuracy or precision
potency,the power or influence that somebody or something has
pragmatic,dealing with things in a practical and sensible way
rebuke,to express sharp disapproval or criticism of someone
renounce,"formally declare one's abandonment of a claim, right, or possession"
renowned,known or talked about by many people; famous; celebrated
retrieve,to get or bring something back; to regain possession of
scribble,to write or draw something untidily or carelessly
speculate,to form a theory or conjecture about a subject without firm evidence
strenuous,requiring or using great exertion; arduous; tough
synchronize,to cause to occur or operate at the same time or rate
syntax,the arrangement of words and phrases to create well-formed sentences
toxicity,the quality of being toxic or poisonous
venom,a poisonous substance secreted by animals such as snakes
vex,"to make someone feel annoyed, frustrated, or worried"
wax,to become larger or more powerful; a substance used for candles
abstraction,the quality of dealing with ideas rather than events; a general idea
allocate,to distribute resources or duties for a particular purpose
ambivalence,the state of having mixed feelings or contradictory ideas
aurora,a natural electrical phenomenon with streamers of light in the sky
authenticity,the quality of being authentic or genuine
clutch,to grasp or seize something tightly
collaboration,the action of working with someone to produce or create something
commission,"an instruction, command, or duty given to a person or group"
communicate,"to share or exchange information, news, or ideas"
concerted,"jointly arranged, planned, or carried out; coordinated"
confer,to grant or bestow a title; to discuss something with others
deliberation,long and careful consideration or discussion
deviate,to depart from an established course or standard
disorient,to make someone lose their sense of direction
diverge,to separate from another route and go in a different direction
engage,"to occupy, attract, or involve someone's interest"
ethnographic,relating to the scientific description of peoples and cultures
hatchling,a young animal that has recently emerged from its egg
innate,inborn; natural; existing from birth
inter,to place a corpse in a grave or tomb
latitude,the distance of a place north or south of the earth's equator
localize,to restrict something to a particular place
minuscule,extremely small; tiny
mitigate,"to make something bad less severe, serious, or painful"
nuanced,characterized by subtle shades of meaning or expression
obtrusive,noticeable or prominent in an unwelcome or intrusive way
overreact,to respond more emotionally or forcibly than is justified
peripheral,relating to or situated on the edge or periphery of something
pigment,the natural coloring matter of animal or plant tissue
reciprocate,to respond to a gesture or action by making a corresponding one
retaliate,to make an attack or assault in return for a similar attack
satirical,containing or using satire to criticize or mock
shroud,a length of cloth in which a dead person is wrapped for burial; to hide
solitary,done or existing alone; without other people
splotch,"a daub, blot, or smear of something like paint or ink"
strain,to force a part of one's body to make a strenuous effort
succumb,"to fail to resist pressure, temptation, or a negative force"
tenuous,very weak or slight; hardly existing
unanimity,agreement by all people involved; consensus
usher,to show or guide someone somewhere
window,an interval or opportunity for action
withstand,to remain undamaged or unaffected by; to resist
aboriginal,inhabiting or existing in a land from the earliest times; native
absorbed,fully engaged; greatly interested in something
attest,to provide or serve as clear evidence of; to testify
attributable,regarded as being caused by something specific
brook,"to allow, tolerate, or stand something"
bureaucracy,a system of government with many state officials and complex rules
carnivore,an animal that feeds on flesh or meat
cast,all the people who act in a play or film
concede,"to admit that something is true, logical, or valid"
cyclical,occurring in cycles; repeated many times
descend,to move or fall downward; to originate from
earnest,resulting from or showing sincere and intense conviction
enchantment,a feeling of great pleasure; state of being under a spell
engulf,to sweep over something so as to surround or cover it completely
equanimity,"mental calmness, composure, and evenness of temper"
hue,a color or shade; a type or character
imposing,grand and impressive in appearance; eye-catching
intimidating,having a frightening or overawing effect
invigorating,"making one feel strong, healthy, and full of energy"
mirth,"amusement, especially as expressed in laughter"
oblige,to make someone legally or morally bound to an action
peninsula,a piece of land almost surrounded by water
perceptive,having or showing sensitive insight; observant
predecessor,a person who held a job or office before the current holder
provoke,"to stimulate or give rise to a reaction, typically a strong one"
recount,to tell someone about something; give an account of an event
rejuvenating,making someone or something look or feel younger or fresher
relentless,oppressively constant; incessant; not getting less strong
reprise,a repetition of a performance or a repeated passage in music
repulse,to drive back an attack by force; to reject
respectively,separately or individually and in the order mentioned
revitalization,the process of making something active or healthy again
transport,"to overwhelm someone with a strong emotion, especially joy"
unbearable,not able to be endured or tolerated; very annoying
veteran,a person who has had long experience in a particular field
waive,to refrain from insisting on or using a right or claim
wend,"to go in a specified direction, typically slowly"
accelerator,a person or thing that causes something to develop more quickly
amendment,a minor change or addition designed to improve a text
antenna,a pair of long sensory appendages on the heads of insects
catastrophic,involving or causing sudden great damage or suffering
celebrity,a famous person; the state of being well-known
comparable,able to be likened to another; similar in quality
consolidate,to make something physically stronger or more solid; to integrate
critique,a detailed analysis and assessment of something
culminate,to reach a climax or point of highest development
delve,to reach inside a receptacle and search for something; to dig into
ditty,"a short, simple song or poem"
divert,to cause someone or something to change course
draw,to pull or drag; to direct someone's attention
drone,a low continuous humming sound; a remote-controlled aircraft
drought,a prolonged period of abnormally low rainfall
elusive,"difficult to find, catch, or achieve; subtle"
embryo,an unborn or unhatched offspring in the process of development
etch,to engrave a metal plate or glass; to carve
evocatively,in a way that brings strong images or memories to mind
fault,to criticize for inadequacy; a defect or flaw
germination,the process by which a seed starts to grow
groan,to make a deep inarticulate sound in response to pain or despair
grumble,to complain about something in a bad-tempered way
hominin,any member of the group consisting of modern humans and extinct human species
ignition,the action of setting something on fire or starting to burn
imminent,about to happen; fast approaching
inauguration,the formal admission of someone to office
indifference,"lack of interest, concern, or sympathy"
instrumental,serving a means of pursuing an aim; contributory
iridescent,showing luminous colors that seem to change at different angles
lea,an open area of grassy land; a meadow
mandate,an official order or commission to do something
manifesto,a public declaration of policy and aims issued by a group
moan,"a long, low sound made by a person expressing suffering"
mutation,the action or process of changing in form or nature; genetic change
object,a material thing; a goal or purpose
pathogen,"a bacterium, virus, or other microorganism that can cause disease"
ratify,to sign or give formal consent to a treaty or agreement
repellent,able to repel a particular thing; causing disgust
replenish,to fill something up again; to restore
rumble,"to make a continuous deep, resonant sound"
shaggy,"having long, thick, and unkempt hair or fur"
shuffle,to walk by dragging one's feet along the ground
smash,to violently break something into pieces; a great success
tenure,the holding of an office; guaranteed permanent employment
trample,to tread on and crush; to treat with contempt
uptake,the action of taking up or making use of something
alternately,in a way that alternates; one after the other
apparatus,the complex structure of a particular organization or system; equipment
contaminate,to make something impure by exposure to a poisonous substance
decentralized,controlled by several local offices rather than one single one
designation,the action of choosing someone for a specific purpose; nomination
disparate,essentially different in kind; not allowing comparison
disperse,to distribute or spread over a wide area
equitable,fair and impartial; providing equal treatment
inexplicable,unable to be explained or accounted for
interject,"to say something abruptly, especially as an interruption"
linear,arranged in or extending along a straight line
loathe,to feel intense dislike or disgust for
mystifying,utterly bewildering or perplexing; hard to explain
oversee,to supervise a person or their work
pool,a shared supply of resources or money
posit,to put forward as a basis for argument; to assume
prescribe,to advise and authorize the use of a medicine; to state as a rule
proponent,"a person who advocates a theory, proposal, or project"
protocol,the official procedure or system of rules governing affairs
render,to provide or give a service; to cause to be or become
rotunda,"a round building or room, especially one with a dome"
runoff,the draining away of water from the surface of an area of land
secrete,to produce and discharge a substance from a cell or gland
sewer,an underground conduit for carrying off drainage water
stitch,a loop of thread used to join points or repair fabric
terrain,a stretch of land with regard to its physical features
thrive,to grow or develop well or vigorously; to flourish
volition,the faculty or power of using one's will
vulgar,lacking sophistication or good taste; unrefined
wince,to give a slight involuntary grimace out of pain or distress
account,a report or description of an event; to explain
align,to place or arrange things in a straight line or correct position
bleak,charmless and inhospitable; dreary; miserable
boast,to talk with excessive pride about one's achievements
conclusive,serving to settle a question; decisive; indisputable
culinary,of or for cooking; related to food
curate,"to select, organize, and look after items in a collection"
dent,a slight hollow in a surface made by a blow or pressure
dormant,having normal physical functions suspended; inactive
echo,a sound caused by the reflection of sound waves
engaging,charming and attractive; interesting
fortify,to strengthen a place with defensive works; to reinforce
harness,to control and make use of natural resources
institution,a society or organization founded for a specific purpose
level,to demolish or knock down; a horizontal plane
materialism,considering material possessions as more important than spiritual values
prestigious,inspiring respect and admiration; having high status
prevalent,widespread in a particular area or at a particular time
quota,a fixed share of something that a person is entitled to receive
rebut,to prove that a statement or criticism is false
slot,"a long, narrow aperture or slit; a position or time"
submit,to yield to a superior force; to contend or assert
suffrage,the right to vote in political elections
tackle,to make determined efforts to deal with a problem
adhesive,a substance that you use to stick things together
ambiguity,the quality of being open to more than one interpretation
beadwork,decorative work made of beads
benediction,the utterance or bestowing of a blessing
chronicle,a factual written account of historical events
correspondence,communication by exchanging letters; similarity
diapause,a period of suspended development in an embryo
feasible,possible to do easily or conveniently; likely to be achieved
foliage,plant leaves collectively; leaves and branches
glucose,a simple type of sugar which is an important energy source
hoax,a humorous or malicious deception; making someone believe a lie
impartial,treating all rivals equally; fair and unbiased
lag,to fall behind in movement or progress; a lapse
languish,to grow weak or feeble; to be neglected
masculinity,possession of the qualities traditionally associated with men
observant,quick to notice things; sharp-eyed
offhand,without previous thought or consideration; coolly nonchalant
persevere,to continue in a course of action even in the face of difficulty
prism,a solid geometric figure whose ends are similar and parallel
quarterly,occurring once every three months
ranger,a person who takes care of a park or forest
resilient,able to withstand or recover quickly from difficult conditions
retrace,to go back over the same route that one has just taken
thwart,to prevent someone from accomplishing something; to frustrate
turnout,the number of people attending an event or voting
abdomen,the part of the body containing the digestive organs
accessory,a thing which can be added to something else to make it useful
altruistic,showing a disinterested and selfless concern for others
awe,a feeling of reverential respect mixed with fear or wonder
cease,to bring or come to an end
cleave,to split or sever something along a natural grain
drag,to pull someone along forcefully; a nuisance or trouble
dub,to give an unofficial name to; to provide a different soundtrack
durability,"the ability to withstand wear, pressure, or damage"
encapsulate,to enclose something in a capsule; to summarize points
fashion,to create or make something into a particular shape
folly,lack of good sense; foolishness
foretell,to predict the future or what will happen
invalidate,to make an argument or theory unsound or erroneous
judgement,the ability to make considered decisions; an opinion
latent,existing but not yet developed or manifest; hidden
leave,to go away from; permission to be absent
moniker,a name or nickname
percolate,to filter gradually through a porous surface
polarized,divided into two sharply contrasting groups or sets
ponder,to think about something carefully; to consider
porous,having minute spaces through which liquid or air may pass
publicity,notice or attention given to someone by the media
recant,to say that one no longer holds an opinion or belief
replicable,able to be copied or reproduced exactly
repudiate,to refuse to accept or be associated with; to reject
reverence,deep respect for someone or something
revolve,to move in a circle on a central point or axis
scarce,insufficient for the demand; rare
sin,an immoral act considered a transgression against law
spleen,an abdominal organ involved in the production of blood cells
subduct,of a tectonic plate moving sideways and downward into the mantle
subterranean,"existing, occurring, or done under the earth's surface"
tempest,a violent windy storm
underscore,to draw a line under a word; to emphasize
unearth,to find something in the ground by digging
wade,to walk through water or another liquid with effort
wake,the trail of disturbed water left by a ship
withdraw,to remove or take away; to cancel or discontinue
adhere,to stick fast to a surface; to believe in and follow the practices of
advocacy,public support for or recommendation of a particular cause
aggravate,"to make a problem, injury, or offense worse or more serious"
aloft,up in or into the air; overhead
breeze,a gentle wind; something that is easy to do
caricature,a picture or description in which characteristics are exaggerated
chaotic,in a state of complete confusion and disorder
coincide,to occur at or during the same time
contrive,to create or bring about an object by deliberate use of skill
debased,reduced in quality or value; immoral
forge,to make or shape a metal object; a workshop with a furnace
gigantism,unusual or abnormal largeness
grapple,to engage in a close fight or struggle; to tackle
guild,an association of people who do the same work
haphazard,lacking any obvious principle of organization; without a plan
helicopter,an aircraft with large revolving blades on top
hinder,"to create difficulties for someone, resulting in delay"
immense,extremely large or great; infinite
initiative,the ability to assess and initiate things independently
irritating,"causing annoyance, impatience, or mild anger"
lineage,lineal descent from an ancestor; ancestry
mural,a large painting done directly on a wall
observe,to notice or perceive something; to remark or comment
premeditated,of a crime or bad action planned beforehand
prioritize,to designate or treat something as being most important
protagonist,"the leading character in a drama, film, or book"
quaint,attractively unusual or old-fashioned
ricochet,to rebound one or more times off a surface
rudimentary,involving or limited to basic principles; not fully developed
sift,to put something through a sieve to remove larger points
single,only one; to choose something from a group
speciation,the formation of new and distinct species in evolution
spike,"a thin, pointed piece of metal; a sudden increase"
stir,to move a substance around to mix it; to arouse
surmise,to suppose that something is true without evidence
trope,a figurative use of a word; a recurring theme
acquisition,"the action of acquiring a skill, habit, or object"
alleviate,to make suffering or a problem less severe
anguish,severe mental or physical pain or suffering
annihilation,complete destruction or obliteration
associative,relating to the association of ideas
census,an official count or survey of a population
close,to end something or get rid of something
consecrate,to make or declare something sacred
demolish,to pull or knock down a building; to destroy
discreet,careful in speech or actions to avoid offense
dulcet,sweet and soothing sound; pleasant
embed,to fix an object firmly and deeply in a surrounding mass
exalt,to hold someone in very high regard; to speak highly of
foster,to encourage or promote the development of something
fraction,a small part or division of something
fume,to emit gas or smoke; to feel or express great anger
implement,to put a decision into effect; a tool or utensil
improvise,to create something spontaneously without preparation
log,a part of a trunk of a tree; a journal or record
majesty,"impressive stateliness, dignity, or beauty"
mania,mental illness marked by excitement; a strong desire
out-of-the-way,remote from busy areas; unusual; secluded
outlandish,looking or sounding bizarre or unfamiliar
perforate,to pierce and make a hole or holes in something
portal,a doorway or entrance to a building; a gateway
presume,to suppose that something is the case on probability
resentment,bitter indignation at having been treated unfairly
scowling,frowning in an angry or bad-tempered way
shore,the land along the edge of a sea; to support something weak
skyrocket,to rise abruptly and very rapidly
sophisticated,having a great deal of worldly experience; complicated
sordid,involving ignoble actions; dirty or unpleasant
stem,the main body of a plant; an upright timber of a ship
stylus,a hard point used for writing or following a groove
subsist,to maintain or support oneself at a minimal level
surreal,having the qualities of a dream; bizarre; uncanny
tablet,a small disc of medicine; a writing pad; a computer
wayward,difficult to control or predict; headlong
allergic,caused by or relating to an allergy; a strong dislike
annotate,to add notes to a text giving explanations
anon,soon; shortly
benign,gentle and kindly; not harmful in effect
camou,to disguise or use protective coloring
consequential,following as a result or effect; important
conspicuous,standing out so as to be clearly visible
corollary,a proposition that follows from one already proved
disengage,to separate or release from something to which attached
dismissive,feeling or showing that something is unworthy of consideration
endotherm,an animal capable of the internal generation of heat
foreground,the part of a view that is nearest to the observer
innocuous,not harmful or offensive; harmless
interweave,to weave or become woven together
itching,an uncomfortable sensation on the skin; a strong desire
liken,to point out the resemblance of someone to something
metabolic,relating to the chemical processes in a living organism
novel,new or unusual in an interesting way
paucity,the presence of something only in small quantities
profusion,an abundance or large quantity of something
regenerate,to grow new tissue; to develop or improve an institution
reign,the period during which a sovereign rules
reluctant,unwilling and hesitant; disinclined
restless,unable to rest or relax as a result of anxiety
retrospective,looking back on or dealing with past events
sap,to gradually weaken or destroy someone's strength
seamless,"smooth and continuous, with no apparent gaps"
titular,holding a purely formal title without real authority
tranquil,free from disturbance; calm and peaceful
trickle,to flow in a small stream; flowing slowly
uneventful,not marked by interesting or exciting events
ungainliness,the quality of being awkward or clumsy; ungraceful
verisimilitude,the appearance of being true or real
vibration,a continuous slight shaking movement
savant,"a learned person, especially a distinguished scientist"
principal,first in order of importance; the head of a school
instigator,a person who brings about or initiates something
pitfall,a hidden or unsuspected danger or difficulty
moisture,water or other liquid diffused in a small quantity
notwithstandin,in spite of; despite
wobble,to move unsteadily from side to side
commemorate,to recall and show respect for someone
humanoid,having an appearance resembling that of a human
decline,to become smaller or less; to politely refuse
maximum,"as great, high, or intense as possible"
congest,to cause a body part to become full of fluid; to block
beam,a long sturdy piece of timber; a ray of light
simulation,imitation of a situation or process
orbit,the curved path of a celestial object around a star
purist,a person who insists on absolute adherence to rules
enforce,to compel observance of or compliance with a law
presumptuous,failing to observe the limits of what is appropriate
dirge,a lament for the dead; a mourning song
sore,painful or aching; a cause of distress
duplication,the action or process of duplicating something
intersperse,to scatter among or between other things
notch,an indentation on an edge; a point or degree
notate,"to write something in notation, especially music"
tributary,a river or stream flowing into a larger one
diffuse,spread over a wide area; lacking clarity
demonstrate,to clearly show the existence of something by proof
feature,a distinctive attribute or aspect of something
proceed,to begin or continue a course of action
antagonist,a person who actively opposes someone; an adversary
inverse,"opposite in position, direction, or order"
mutual,experienced or done by each of two or more parties
objection,an expression or feeling of disapproval or opposition
suitor,a man who pursues a relationship with a view to marriage
assimilate,to take in information and understand fully
fond,having an affection or liking for someone
approbation,approval or praise; acceptance
discourse,written or spoken communication or debate
striking,attracting attention by being unusual or extreme
idolize,"to admire, revere, or love greatly"
amusement,the state of finding something funny
reserve,refrain from using; lack of openness in manner
cross-site,relating to or involving more than one site
sort,to arrange things in categories; a type
haunted,visited by ghosts; having a worried mental state
portion,a part of a whole; a share of something
collapse,to fall down suddenly; to fail completely
incorporate,to take in or include as part of a whole
conceive,to form a plan or idea in the mind; to imagine
recruit,to enlist someone in an organization
supplemental,provided in addition to what is already present
redundant,not or no longer needed or useful
numerical,relating to or expressed as a number
uneven,not level or smooth; not following a regular pattern
boost,to help or encourage something to increase; to lift
pedagogy,the method and practice of teaching
prompt,to cause or bring about an action; done without delay
mourn,to feel or show deep sorrow for someone who has died
canopy,an ornamental cloth covering over something; a shelter
dire,extremely serious or urgent; catastrophic
lament,a passionate expression of grief or sorrow
curb,to control or limit something; a restraint
frenzy,a state of uncontrolled excitement or wild behavior
plaint,an accusation or charge; a lamentation
categorize,to place in a particular class or group
bear,to endure an ordeal; to produce or yield
grief,"deep sorrow, especially caused by someone's death"
overlook,to fail to notice something; to have a view from above
prominence,the state of being important or well-known
genre,a category of artistic composition
multifaceted,having many different aspects or sides
homogenize,to make uniform or similar
expertise,expert skill or knowledge in a particular field
plunge,to jump or dive quickly; to fall suddenly
restrain,to prevent from doing something; to keep under control
confront,to meet face to face with hostile intent; to tackle
expenditure,the action of spending funds; amount spent
provision,the action of providing something; supplies
hazard,a danger or risk; to venture or put at risk
fraud,wrongful deception intended for financial gain
concentration,the action of focusing one's attention; gathering
dislodge,to knock or force out of position
investigative,intended to examine a situation to establish facts
incentive,a thing that motivates someone to do something
municipality,a town or city that has local government
concise,giving information clearly and in few words; brief
practical,concerned with the actual doing rather than theory
undulate,to move with a smooth up-and-down motion
reproducible,able to be reproduced or copied exactly
obviate,to remove a need or difficulty; to prevent
imprecise,lacking exactness and accuracy; vague
afford,to have enough money for; to provide or give
insulation,the state of being protected from heat or sound
faint,barely perceptible; feeling weak and dizzy
remote,situated far from centers of population; slight
imperial,relating to an empire; royal; majestic
degrade,to lower the quality of; to treat disrespectfully
disheveled,of a person's appearance untidy or disordered
elasticity,the ability of an object to resume its normal shape
reverse,to move backward; the opposite of something
oscillate,to move or swing back and forth at a regular speed
entropy,a measure of randomness or disorder in a system
dissonance,lack of harmony among musical notes or people
reclaim,to retrieve or recover something previously lost
impressive,evoking admiration through size or quality
inherent,existing in something as a permanent attribute
capacious,having a lot of space inside; roomy
divulge,to make known sensitive information; to leak
drawback,a feature that renders something less acceptable
hone,to refine or perfect something over time
choreographer,a person who composes dance sequences
discern,to perceive or recognize something; to distinguish
oddity,"a strange or peculiar person, thing, or trait"
superficial,lacking depth of character or understanding
fade,to gradually grow faint and disappear
adapt,to make something suitable for a new use; to modify
altitude,the height of an object in relation to sea level
discard,to get rid of something as no longer useful
grasp,to seize and hold firmly; to understand
smother,to kill by covering the nose; to stifle or suppress
depression,feelings of severe despondency; economic recession
devoid,entirely lacking or free from something
proximity,"nearness in space, time, or relationship"
shrink,to become or make smaller in size
burrow,a hole or tunnel dug by a small animal
conducive,making a certain situation likely or possible
deplete,to use up the supply or resources of something
dilemma,a difficult situation or choice
elicit,to evoke or draw out a response or reaction
impede,to delay or prevent someone by obstructing them
nuisance,a person or thing causing inconvenience
subsume,to include or absorb something in something else
overt,done or shown openly; not secret
reconcile,to restore friendly relations; to harmonize
incomprehensible,"not able to be understood"""
stain,to mark or discolor with something not easily removed
span,the full extent of something; range or duration
binary,relating to or involving two things; numerical system
vulnerability,the state of being exposed to being attacked
tinge,to color slightly; a slight feeling or quality
slumber,to sleep; a state of dormancy
arbitrary,based on random choice rather than reason
cryptic,having a meaning that is mysterious or obscure
singular,extraordinary; exceptional; referring to just one
access,the opportunity to approach or enter a place
subversive,seeking to undermine an established system
imbibe,to drink alcohol; to absorb ideas or knowledge
phase,a distinct period or stage in a process
self-contained,independent; not needing the company of others
inception,the starting point of an institution or activity
emerging,"becoming apparent, important, or prominent"
literacy,the ability to read and write; competence
caution,care taken to avoid danger; to warn
consensus,general agreement among a group
disdain,the feeling that someone is unworthy of respect
aback,"by surprise or shock"""
personage,a person of high or elevated status
belonging,the state of being a member of a group; possessions
accommodate,to provide lodging; to fit in or help
empirical,based on observation rather than theory
litter,animals born to an animal at one time; rubbish
permanence,the state of lasting or remaining unchanged
implausible,not seeming reasonable or probable
reductive,presenting a subject in a simplified form
rigorous,extremely thorough and careful; strict
offset,to counterbalanced by an equal force
undermine,to lessen the effectiveness of; to weaken foundations
concur,to be of the same opinion; to agree
profess,to claim that one has a quality; to confess
laudable,deserving praise and commendation
engrossing,absorbing all one's attention; interesting
comprehensive,including all or nearly all elements of something
precipitate,to cause something bad to happen suddenly
articulate,having the ability to speak fluently; eloquent
discontent,lack of contentment; dissatisfaction
stark,severe or bare in appearance; stiff or rigid
trial,a formal examination of evidence in court; an ordeal
stampede,a sudden panicked rush of a number of animals
wanting,lacking in a required quality; absent
wage,a fixed regular payment for work; to carry on
contributory,playing a part in bringing something about
insightful,having or showing an accurate and deep understanding
ripple,a small wave on the surface of water
tedious,"too long, slow, or dull; tiresome"
resistant,offering resistance to something; unaffected
engender,to cause or give rise to a feeling or situation
fragrant,having a pleasant or sweet smell
dread,to anticipate with great apprehension or fear
regularity,the state or quality of being constant and frequent
relish,great enjoyment; to like something
promotion,advancement; active encouragement for a cause
envision,to imagine as a future possibility; to visualize
surpass,to be greater than; to exceed
robust,strong and healthy; vigorous; strong
sluggish,slow-moving or inactive; lacking energy
wilt,to become limp through heat or loss of water
sustenance,food and drink as a source of strength
plastic,easily shaped or molded; synthetic material
collision,an instance of one moving object striking another
clash,a violent confrontation or incompatibility
intent,intention or purpose; eager attention
form,visible shape or configuration; a pattern
aggregation,the formation of things into a cluster
receptive,willing to consider new suggestions
brawl,a rough or noisy fight or quarrel
dabble,to take part in an activity in a casual way
fuel,to sustain or inflame; material for heat
malleable,able to be hammered into shape; pliable
circulation,movement around something; spreading of info
perish,to suffer death in a violent way; to rot
repay,to pay back money; to do something in return
disparity,a great difference; inconsistency
rotate,to move in a circle around an axis
versatile,able to adapt to many different functions
explicit,stated clearly and in detail; leaving no room for doubt
unstinted,given without restraint; generous
rationale,a set of reasons or a logical basis for an action
manifold,"many and various"""
marvelous,causing great wonder; extraordinary
demise,a person's death; the end of an enterprise
frantically,in a distraught way owing to fear or anxiety
massive,large and heavy; very serious
aroma,"a distinctive, typically pleasant smell"
axis,an imaginary line about which a body rotates
stereotyped,a fixed idea about a person or thing
authority,the power or right to give orders
slant,slope or lean; a particular point of view
contempt,disrespect; the feeling that something is worthless
outstrip,to move faster than and overtake; to surpass
misconception,a view that is incorrect; misunderstanding
aesthetic,concerned with beauty or the appreciation of it
mortal,subject to death; causing death
untimely,happening at an unsuitable time; premature
unremarkable,not particularly interesting or surprising
intuition,the ability to understand something immediately
abundant,existing in large quantities; more than enough
incubation,the process of keeping something warm for development
bankruptcy,the state of being bankrupt; insolvency
proxy,the authority to represent someone else; a substitute
blunt,not sharp; forthright and straightforward
discord,disagreement; lack of harmony
compromise,an agreement reached by each side making concessions
fatal,causing death; disastrous
infestation,the presence of large numbers of pests
intermittent,occurring at irregular intervals; not continuous
mundane,lacking interest or excitement; dull
transcend,to be or go beyond the range or limits of something
commonplace,not interesting or original; ordinary
demographic,relating to the structure of populations
hierarchy,a system in which people are ranked by status
spawn,to produce or generate; to bring about
intricate,very complicated or detailed
malicious,intending or intended to do harm; spiteful
misgiving,a feeling of doubt or apprehension
refugee,a person forced to leave their country
retention,the continued possession or control of something
shed,to discard; to cast off; to provide info
postulate,to assume the existence of something as a basis
temperament,a person's nature or character
paramount,more important than anything else; supreme
panacea,a solution or remedy for all difficulties
antipathy,a deep-seated feeling of dislike
therapy,treatment intended to relieve or heal
winnow,to remove people or things from a group
surmount,to overcome a difficulty or obstacle
herd,a large group of animals of the same type
unfold,to open or spread out; to reveal information
